site,species,plot,total,LL,UR
741,Achyrachaena mollis,1,,,
741,Achyrachaena mollis,2,4,,1
741,Achyrachaena mollis,3,1,,1
741,Achyrachaena mollis,4,,,
741,Achyrachaena mollis,5,,,2
742,Achyrachaena mollis,1,8,,1
742,Achyrachaena mollis,2,4,5,5
742,Achyrachaena mollis,3,4,2,10
742,Achyrachaena mollis,4,8,,
742,Achyrachaena mollis,5,,,
757,Achyrachaena mollis,1,,,
757,Achyrachaena mollis,2,,,
757,Achyrachaena mollis,3,1,,
757,Achyrachaena mollis,4,8,10,30
757,Achyrachaena mollis,5,1,1,
741,Agoseris heterophylla,1,,,
741,Agoseris heterophylla,2,1,1,
741,Agoseris heterophylla,3,1,,1
741,Agoseris heterophylla,4,2,,
741,Agoseris heterophylla,5,4,,
742,Agoseris heterophylla,1,,,
742,Agoseris heterophylla,2,,,
742,Agoseris heterophylla,3,,,
742,Agoseris heterophylla,4,4,,5
742,Agoseris heterophylla,5,8,10,20
743,Agoseris heterophylla,1,16,1,5
743,Agoseris heterophylla,2,8,2,2
743,Agoseris heterophylla,3,1,,1
743,Agoseris heterophylla,4,1,,1
743,Agoseris heterophylla,5,1,1,
745,Agoseris heterophylla,1,1,,4
745,Agoseris heterophylla,2,1,,
745,Agoseris heterophylla,3,,,
745,Agoseris heterophylla,4,1,1,
745,Agoseris heterophylla,5,,,
751,Agoseris heterophylla,1,,,
751,Agoseris heterophylla,2,,,
751,Agoseris heterophylla,3,,,
751,Agoseris heterophylla,4,,,
751,Agoseris heterophylla,5,1,1,
752,Agoseris heterophylla,1,1,,
752,Agoseris heterophylla,2,1,,
752,Agoseris heterophylla,3,,,
752,Agoseris heterophylla,4,,,
752,Agoseris heterophylla,5,,,
755,Agoseris heterophylla,1,2,,
755,Agoseris heterophylla,2,1,,3
755,Agoseris heterophylla,3,1,,
755,Agoseris heterophylla,4,,,
755,Agoseris heterophylla,5,1,,1
742,Amsinckia menziesii,1,,,
742,Amsinckia menziesii,2,,,
742,Amsinckia menziesii,3,,,
742,Amsinckia menziesii,4,1,,1
742,Amsinckia menziesii,5,1,1,
746,Amsinckia menziesii,1,1,1,
746,Amsinckia menziesii,2,,,
746,Amsinckia menziesii,3,,,
746,Amsinckia menziesii,4,,,
746,Amsinckia menziesii,5,,,
762,Amsinckia menziesii,1,1,1,
762,Amsinckia menziesii,2,1,,1
762,Amsinckia menziesii,3,1,,
762,Amsinckia menziesii,4,4,,20
762,Amsinckia menziesii,5,1,,1
762,Anagallis arvensis,1,1,,
762,Anagallis arvensis,2,,,
762,Anagallis arvensis,3,1,,1
762,Anagallis arvensis,4,,,
762,Anagallis arvensis,5,1,,1
743,Stylocline filaginea,1,1,,
747,Stylocline filaginea,1,,,
747,Stylocline filaginea,2,1,2,
747,Stylocline filaginea,3,1,,
747,Stylocline filaginea,4,1,,
747,Stylocline filaginea,5,,,
751,Stylocline filaginea,1,1,,1
751,Stylocline filaginea,2,4,,1
751,Stylocline filaginea,3,,,
751,Stylocline filaginea,4,,,
751,Stylocline filaginea,5,,,
743,Stylocline filaginea,2,1,,
743,Stylocline filaginea,3,,,
743,Stylocline filaginea,4,1,,
743,Stylocline filaginea,5,1,1,1
742,Astragalus gambelianus,5,1,,
743,Astragalus gambelianus,1,1,,1
743,Astragalus gambelianus,2,,,
743,Astragalus gambelianus,3,,,
743,Astragalus gambelianus,4,,,
743,Astragalus gambelianus,5,1,,
745,Astragalus gambelianus,1,,,
745,Astragalus gambelianus,2,1,,
745,Astragalus gambelianus,3,,,
745,Astragalus gambelianus,4,1,,
745,Astragalus gambelianus,5,,,
744,Astragalus gambelianus,1,1,,
744,Astragalus gambelianus,2,,,
744,Astragalus gambelianus,3,,,
744,Astragalus gambelianus,4,,,
744,Astragalus gambelianus,5,1,1,
747,Astragalus gambelianus,1,1,,
747,Astragalus gambelianus,2,1,1,1
747,Astragalus gambelianus,3,1,2,
747,Astragalus gambelianus,4,,,
747,Astragalus gambelianus,5,,,
748,Astragalus gambelianus,1,,,
748,Astragalus gambelianus,2,1,,
748,Astragalus gambelianus,3,,,
748,Astragalus gambelianus,4,,,
748,Astragalus gambelianus,5,,,
752,Astragalus gambelianus,1,1,,
752,Astragalus gambelianus,2,1,1,
752,Astragalus gambelianus,3,1,,
752,Astragalus gambelianus,4,1,,
752,Astragalus gambelianus,5,1,,
755,Astragalus gambelianus,1,1,,
755,Astragalus gambelianus,2,,,
755,Astragalus gambelianus,3,1,,
755,Astragalus gambelianus,4,1,2,
755,Astragalus gambelianus,5,1,,1
741,Avena fatua,1,25,40,20
741,Avena fatua,2,30,30,30
741,Avena fatua,3,25,60,20
741,Avena fatua,4,30,40,20
741,Avena fatua,5,25,25,20
742,Avena barbata,1,16,40,
742,Avena barbata,2,4,5,5
742,Avena barbata,3,20,15,10
742,Avena barbata,4,20,5,20
742,Avena barbata,5,4,5,
743,Avena barbata,1,4,5,5
743,Avena barbata,2,10,5,5
743,Avena barbata,3,1,,3
743,Avena barbata,4,2,1,1
743,Avena barbata,5,,,
745,Avena barbata,1,8,4,1
745,Avena barbata,2,12,1,50
745,Avena barbata,3,15,15,5
745,Avena barbata,4,5,5,5
745,Avena barbata,5,8,10,4
744,Avena barbata,1,4,1,3
744,Avena barbata,2,8,1,5
744,Avena barbata,3,4,5,1
744,Avena barbata,4,4,,2
744,Avena barbata,5,25,20,10
746,Avena barbata,1,30,40,40
746,Avena barbata,2,30,10,60
746,Avena barbata,3,40,50,20
746,Avena barbata,4,30,10,40
746,Avena barbata,5,20,5,20
747,Avena barbata,1,1,5,10
747,Avena barbata,2,4,1,1
747,Avena barbata,3,8,2,8
747,Avena barbata,4,12,15,10
747,Avena barbata,5,4,3,2
748,Avena barbata,1,12,20,20
748,Avena barbata,2,4,1,1
748,Avena barbata,3,4,2,3
748,Avena barbata,4,20,5,40
748,Avena barbata,5,12,10,
750,Avena barbata,1,40,50,30
750,Avena barbata,2,60,20,50
750,Avena barbata,3,70,70,40
750,Avena barbata,4,70,60,50
750,Avena barbata,5,40,40,60
751,Avena barbata,1,8,5,10
751,Avena barbata,2,10,20,10
751,Avena barbata,3,8,10,10
751,Avena barbata,4,15,10,20
751,Avena barbata,5,10,5,15
752,Avena barbata,1,,,
752,Avena barbata,2,4,1,1
752,Avena barbata,3,4,10,5
752,Avena barbata,4,16,30,30
752,Avena barbata,5,4,5,10
755,Avena barbata,1,12,20,50
755,Avena barbata,2,20,5,20
755,Avena barbata,3,8,8,10
755,Avena barbata,4,8,,2
755,Avena barbata,5,12,8,20
763,Avena barbata,1,1,10,
763,Avena barbata,2,4,10,5
763,Avena barbata,3,,,
763,Avena barbata,4,10,10,20
763,Avena barbata,5,10,2,5
756,Avena barbata,1,,,
756,Avena barbata,2,1,,1
756,Avena barbata,3,,,
756,Avena barbata,4,,,
756,Avena barbata,5,,,
749,Avena fatua,1,90,90,80
749,Avena fatua,2,90,90,90
749,Avena fatua,3,80,90,90
749,Avena fatua,4,90,90,20
749,Avena fatua,5,100,90,90
740,Avena fatua,1,40,50,60
740,Avena fatua,2,70,80,60
740,Avena fatua,3,60,50,70
740,Avena fatua,4,50,80,10
740,Avena fatua,5,60,10,70
753,Avena fatua,1,60,25,80
753,Avena fatua,2,70,60,80
753,Avena fatua,3,70,90,90
753,Avena fatua,4,30,20,10
753,Avena fatua,5,30,40,20
752,Avena fatua,1,10,20,10
752,Avena fatua,2,,,
752,Avena fatua,3,,,
752,Avena fatua,4,,,
752,Avena fatua,5,,,
754,Avena fatua,1,70,80,60
754,Avena fatua,2,1,,
754,Avena fatua,3,8,,30
754,Avena fatua,4,20,20,25
754,Avena fatua,5,16,20,10
762,Avena fatua,1,15,,20
762,Avena fatua,2,20,40,
762,Avena fatua,3,15,10,10
762,Avena fatua,4,10,10,5
762,Avena fatua,5,8,5,5
760,Avena fatua,1,,,
760,Avena fatua,2,4,5,5
760,Avena fatua,3,1,1,2
760,Avena fatua,4,1,,
760,Avena fatua,5,2,2,1
761,Avena fatua,1,15,20,20
761,Avena fatua,2,8,1,1
761,Avena fatua,3,8,10,2
761,Avena fatua,4,12,5,5
761,Avena fatua,5,8,,1
756,Avena fatua,1,4,2,1
756,Avena fatua,2,,,
756,Avena fatua,3,4,1,1
756,Avena fatua,4,8,5,5
756,Avena fatua,5,12,20,15
757,Avena fatua,1,1,,
757,Avena fatua,2,1,1,
757,Avena fatua,3,,,
757,Avena fatua,4,4,,
757,Avena fatua,5,8,1,15
758,Bowlesia incana,1,,,
758,Bowlesia incana,2,1,1,
758,Bowlesia incana,3,,,
758,Bowlesia incana,4,,,
758,Bowlesia incana,5,,,
759,Bowlesia incana,1,,,
759,Bowlesia incana,2,1,5,
759,Bowlesia incana,3,1,,5
759,Bowlesia incana,4,4,5,5
759,Bowlesia incana,5,1,,1
749,Bromus diandrus,1,,,
749,Bromus diandrus,2,,,
749,Bromus diandrus,3,,,
749,Bromus diandrus,4,4,,
749,Bromus diandrus,5,1,,
740,Bromus diandrus,1,,,
740,Bromus diandrus,2,,,
740,Bromus diandrus,3,,,
740,Bromus diandrus,4,1,1,
740,Bromus diandrus,5,1,10,
753,Bromus diandrus,1,4,5,2
753,Bromus diandrus,2,1,,
753,Bromus diandrus,3,4,,
753,Bromus diandrus,4,20,40,30
753,Bromus diandrus,5,20,10,30
754,Bromus diandrus,1,4,5,5
754,Bromus diandrus,2,50,40,70
754,Bromus diandrus,3,70,90,50
754,Bromus diandrus,4,40,75,30
754,Bromus diandrus,5,40,50,20
763,Bromus diandrus,1,,,
763,Bromus diandrus,2,,,
763,Bromus diandrus,3,,,
763,Bromus diandrus,4,,,
763,Bromus diandrus,5,4,,20
762,Bromus diandrus,1,20,10,20
762,Bromus diandrus,2,10,5,5
762,Bromus diandrus,3,20,80,
762,Bromus diandrus,4,50,80,5
762,Bromus diandrus,5,16,5,5
761,Bromus diandrus,1,1,10,
761,Bromus diandrus,2,40,15,10
761,Bromus diandrus,3,8,10,1
761,Bromus diandrus,4,2,1,5
761,Bromus diandrus,5,25,20,5
757,Bromus diandrus,1,40,60,25
757,Bromus diandrus,2,40,70,80
757,Bromus diandrus,3,30,70,30
757,Bromus diandrus,4,50,40,10
757,Bromus diandrus,5,15,10,5
758,Bromus diandrus,1,90,80,90
758,Bromus diandrus,2,80,60,5
758,Bromus diandrus,3,75,60,70
758,Bromus diandrus,4,70,40,50
758,Bromus diandrus,5,80,80,80
759,Bromus diandrus,1,90,80,50
759,Bromus diandrus,2,20,10,25
759,Bromus diandrus,3,80,90,50
759,Bromus diandrus,4,70,20,50
759,Bromus diandrus,5,90,90,10
741,Bromus hordeaceus,1,25,5,30
741,Bromus hordeaceus,2,20,1,8
741,Bromus hordeaceus,3,25,1,5
741,Bromus hordeaceus,4,4,1,10
741,Bromus hordeaceus,5,16,2,20
742,Bromus hordeaceus,1,1,1,2
742,Bromus hordeaceus,2,1,,10
742,Bromus hordeaceus,3,1,25,5
742,Bromus hordeaceus,4,4,10,
742,Bromus hordeaceus,5,30,10,30
743,Bromus hordeaceus,1,16,10,20
743,Bromus hordeaceus,2,1,1,1
743,Bromus hordeaceus,3,,,
743,Bromus hordeaceus,4,,,
743,Bromus hordeaceus,5,,,
745,Bromus hordeaceus,1,1,1,
745,Bromus hordeaceus,2,4,1,
745,Bromus hordeaceus,3,,,
745,Bromus hordeaceus,4,,,
745,Bromus hordeaceus,5,,,
744,Bromus hordeaceus,1,1,,1
744,Bromus hordeaceus,2,1,,1
744,Bromus hordeaceus,3,,,
744,Bromus hordeaceus,4,,,
744,Bromus hordeaceus,5,,,
746,Bromus hordeaceus,1,8,5,5
746,Bromus hordeaceus,2,8,20,
746,Bromus hordeaceus,3,4,10,10
746,Bromus hordeaceus,4,30,2,10
746,Bromus hordeaceus,5,40,60,60
749,Bromus hordeaceus,1,,,
749,Bromus hordeaceus,2,,,
749,Bromus hordeaceus,3,,,
749,Bromus hordeaceus,4,,,
749,Bromus hordeaceus,5,,,
740,Bromus hordeaceus,1,1,1,
740,Bromus hordeaceus,2,1,5,
740,Bromus hordeaceus,3,5,10,10
740,Bromus hordeaceus,4,20,1,40
740,Bromus hordeaceus,5,10,5,1
750,Bromus hordeaceus,1,,,
750,Bromus hordeaceus,2,,,
750,Bromus hordeaceus,3,,,
750,Bromus hordeaceus,4,1,,
750,Bromus hordeaceus,5,1,,
751,Bromus hordeaceus,1,1,,1
751,Bromus hordeaceus,2,,,
751,Bromus hordeaceus,3,1,,
751,Bromus hordeaceus,4,1,1,
751,Bromus hordeaceus,5,1,,
752,Bromus hordeaceus,1,30,10,40
752,Bromus hordeaceus,2,1,,
752,Bromus hordeaceus,3,1,,
752,Bromus hordeaceus,4,4,1,1
752,Bromus hordeaceus,5,1,,
755,Bromus hordeaceus,1,8,10,2
755,Bromus hordeaceus,2,8,2,1
755,Bromus hordeaceus,3,1,1,
755,Bromus hordeaceus,4,,,
755,Bromus hordeaceus,5,,,
754,Bromus hordeaceus,1,,,
754,Bromus hordeaceus,2,,,
754,Bromus hordeaceus,3,,,
754,Bromus hordeaceus,4,,,
754,Bromus hordeaceus,5,8,,1
763,Bromus hordeaceus,1,1,1,
763,Bromus hordeaceus,2,4,,5
763,Bromus hordeaceus,3,30,60,20
763,Bromus hordeaceus,4,8,2,20
763,Bromus hordeaceus,5,8,5,10
760,Bromus hordeaceus,1,1,1,
760,Bromus hordeaceus,2,1,,
760,Bromus hordeaceus,3,,,
760,Bromus hordeaceus,4,,,
760,Bromus hordeaceus,5,1,,1
761,Bromus hordeaceus,1,4,5,
761,Bromus hordeaceus,2,8,10,
761,Bromus hordeaceus,3,4,5,1
761,Bromus hordeaceus,4,8,1,10
761,Bromus hordeaceus,5,4,,
756,Bromus hordeaceus,1,1,1,5
756,Bromus hordeaceus,2,12,2,20
756,Bromus hordeaceus,3,20,20,15
756,Bromus hordeaceus,4,1,3,1
756,Bromus hordeaceus,5,1,2,5
757,Bromus hordeaceus,1,1,1,2
757,Bromus hordeaceus,2,1,,
757,Bromus hordeaceus,3,8,2,1
757,Bromus hordeaceus,4,8,5,5
757,Bromus hordeaceus,5,30,20,20
743,Bromus madritensis,1,,,
743,Bromus madritensis,2,1,,1
743,Bromus madritensis,3,12,1,10
743,Bromus madritensis,4,4,10,1
743,Bromus madritensis,5,1,,1
744,Bromus madritensis,1,1,1,
744,Bromus madritensis,2,2,,2
744,Bromus madritensis,3,,,
744,Bromus madritensis,4,1,,
744,Bromus madritensis,5,,,
752,Bromus madritensis,1,,,
752,Bromus madritensis,2,,,
752,Bromus madritensis,3,1,1,
752,Bromus madritensis,4,,,
752,Bromus madritensis,5,1,,5
755,Bromus madritensis,1,4,1,
755,Bromus madritensis,2,4,1,
755,Bromus madritensis,3,,,
755,Bromus madritensis,4,,,
755,Bromus madritensis,5,,,
763,Bromus madritensis,1,70,,50
763,Bromus madritensis,2,4,5,
763,Bromus madritensis,3,1,,
763,Bromus madritensis,4,1,2,5
763,Bromus madritensis,5,20,20,1
760,Bromus madritensis,1,8,15,20
760,Bromus madritensis,2,12,15,10
760,Bromus madritensis,3,8,1,5
760,Bromus madritensis,4,12,20,10
760,Bromus madritensis,5,4,1,1
761,Bromus madritensis,1,12,1,1
761,Bromus madritensis,2,2,1,10
761,Bromus madritensis,3,12,10,5
761,Bromus madritensis,4,4,,
761,Bromus madritensis,5,40,40,50
756,Bromus madritensis,1,16,,30
756,Bromus madritensis,2,2,5,
756,Bromus madritensis,3,4,1,1
756,Bromus madritensis,4,8,1,2
756,Bromus madritensis,5,4,5,10
744,Calandrinia menziesii,1,,,
744,Calandrinia menziesii,2,,,
744,Calandrinia menziesii,3,,,
744,Calandrinia menziesii,4,,,
744,Calandrinia menziesii,5,1,1,1
745,Calystegia collina,1,,,
745,Calystegia collina,2,,,
745,Calystegia collina,3,1,,
745,Calystegia collina,4,1,,
745,Calystegia collina,5,,,
747,Calystegia collina,1,,,
747,Calystegia collina,2,8,,10
747,Calystegia collina,3,4,,1
747,Calystegia collina,4,1,2,
747,Calystegia collina,5,,,
758,Carduus pycnocephalus,1,12,10,1
758,Carduus pycnocephalus,2,8,,1
758,Carduus pycnocephalus,3,12,2,1
758,Carduus pycnocephalus,4,4,5,
758,Carduus pycnocephalus,5,,,
759,Carduus pycnocephalus,1,,,
759,Carduus pycnocephalus,2,,,
759,Carduus pycnocephalus,3,,,
759,Carduus pycnocephalus,4,1,,
759,Carduus pycnocephalus,5,4,,
763,Centaurea melitensis,1,8,40,
763,Centaurea melitensis,2,,,
763,Centaurea melitensis,3,4,,
763,Centaurea melitensis,4,8,5,
763,Centaurea melitensis,5,4,,10
760,Centaurea melitensis,1,1,1,1
760,Centaurea melitensis,2,4,1,1
760,Centaurea melitensis,3,1,2,2
760,Centaurea melitensis,4,1,,1
760,Centaurea melitensis,5,12,,2
761,Centaurea melitensis,1,4,1,30
761,Centaurea melitensis,2,12,70,
761,Centaurea melitensis,3,8,3,2
761,Centaurea melitensis,4,1,,5
761,Centaurea melitensis,5,4,,
747,Chaenactis glabriuscula,1,1,,
747,Chaenactis glabriuscula,2,1,,
747,Chaenactis glabriuscula,3,1,1,
747,Chaenactis glabriuscula,4,,,
747,Chaenactis glabriuscula,5,,,
748,Chaenactis glabriuscula,1,4,3,
748,Chaenactis glabriuscula,2,8,3,15
748,Chaenactis glabriuscula,3,8,4,4
748,Chaenactis glabriuscula,4,4,1,
748,Chaenactis glabriuscula,5,4,1,
762,Stellaria media,1,,,
762,Stellaria media,2,,,
762,Stellaria media,3,,,
762,Stellaria media,4,,,
762,Stellaria media,5,1,,
757,Stellaria media,1,,,
757,Stellaria media,2,1,,
757,Stellaria media,3,,,
757,Stellaria media,4,,,
757,Stellaria media,5,,,
758,Stellaria media,1,1,,
758,Stellaria media,2,1,,
758,Stellaria media,3,1,,
758,Stellaria media,4,1,1,
758,Stellaria media,5,1,,
759,Stellaria media,1,1,1,
759,Stellaria media,2,1,,1
759,Stellaria media,3,1,1,
759,Stellaria media,4,1,,1
759,Stellaria media,5,1,,1
742,Chlorogalum pomeridianum,5,1,,
743,Chlorogalum pomeridianum,1,,,
743,Chlorogalum pomeridianum,2,,,
743,Chlorogalum pomeridianum,3,8,,
743,Chlorogalum pomeridianum,4,2,,10
743,Chlorogalum pomeridianum,5,1,,2
745,Chlorogalum pomeridianum,1,12,1,1
745,Chlorogalum pomeridianum,2,1,,
745,Chlorogalum pomeridianum,3,8,5,20
745,Chlorogalum pomeridianum,4,2,,4
745,Chlorogalum pomeridianum,5,4,,5
752,Chlorogalum pomeridianum,1,,,
752,Chlorogalum pomeridianum,2,,,
752,Chlorogalum pomeridianum,3,2,10,
752,Chlorogalum pomeridianum,4,,,
752,Chlorogalum pomeridianum,5,,,
745,Chorizanthe staticoides,1,,,
745,Chorizanthe staticoides,2,,,
745,Chorizanthe staticoides,3,2,,
745,Chorizanthe staticoides,4,,,
745,Chorizanthe staticoides,5,4,4,1
747,Chorizanthe staticoides,1,1,,1
747,Chorizanthe staticoides,2,16,10,15
747,Chorizanthe staticoides,3,8,2,
747,Chorizanthe staticoides,4,,,
747,Chorizanthe staticoides,5,1,1,4
751,Chorizanthe staticoides,1,,,
751,Chorizanthe staticoides,2,1,1,
751,Chorizanthe staticoides,3,,,
751,Chorizanthe staticoides,4,,,
751,Chorizanthe staticoides,5,,,
755,Chorizanthe staticoides,1,,,
755,Chorizanthe staticoides,2,,,
755,Chorizanthe staticoides,3,1,,
755,Chorizanthe staticoides,4,,,
755,Chorizanthe staticoides,5,,,
758,Clarkia bottae,1,,,
758,Clarkia bottae,2,,,
758,Clarkia bottae,3,,,
758,Clarkia bottae,4,1,,
758,Clarkia bottae,5,,,
756,Clarkia purpurea,1,4,5,2
756,Clarkia purpurea,2,4,1,3
756,Clarkia purpurea,3,8,25,10
756,Clarkia purpurea,4,4,10,1
756,Clarkia purpurea,5,8,1,1
757,Clarkia purpurea,1,,,
757,Clarkia purpurea,2,,,
757,Clarkia purpurea,3,,,
757,Clarkia purpurea,4,1,1,2
757,Clarkia purpurea,5,2,5,1
758,Claytonia perfoliata,1,1,,
758,Claytonia perfoliata,2,1,,1
758,Claytonia perfoliata,3,1,1,
758,Claytonia perfoliata,4,1,1,1
758,Claytonia perfoliata,5,1,,1
759,Claytonia perfoliata,1,25,20,80
759,Claytonia perfoliata,2,50,80,30
759,Claytonia perfoliata,3,8,5,10
759,Claytonia perfoliata,4,8,2,5
759,Claytonia perfoliata,5,4,2,5
751,Cryptantha clevelandii,1,,,
751,Cryptantha clevelandii,2,,,
751,Cryptantha clevelandii,3,1,1,
751,Cryptantha clevelandii,4,,,
751,Cryptantha clevelandii,5,,,
741,Dichelostemma capitatum,1,1,,1
741,Dichelostemma capitatum,2,1,,
741,Dichelostemma capitatum,3,1,,5
741,Dichelostemma capitatum,4,1,,1
741,Dichelostemma capitatum,5,,,
742,Dichelostemma capitatum,1,,,
742,Dichelostemma capitatum,2,1,2,
742,Dichelostemma capitatum,3,,,
742,Dichelostemma capitatum,4,1,5,
742,Dichelostemma capitatum,5,,,
745,Dichelostemma capitatum,1,4,10,1
745,Dichelostemma capitatum,2,1,,
745,Dichelostemma capitatum,3,4,5,1
745,Dichelostemma capitatum,4,4,,10
745,Dichelostemma capitatum,5,1,,
746,Dichelostemma capitatum,1,4,,
746,Dichelostemma capitatum,2,,,
746,Dichelostemma capitatum,3,1,1,
746,Dichelostemma capitatum,4,1,,
746,Dichelostemma capitatum,5,8,10,10
747,Dichelostemma capitatum,1,,,
747,Dichelostemma capitatum,2,,,
747,Dichelostemma capitatum,3,1,1,
747,Dichelostemma capitatum,4,,,
747,Dichelostemma capitatum,5,1,,
740,Dichelostemma capitatum,1,,,
740,Dichelostemma capitatum,2,,,
740,Dichelostemma capitatum,3,,,
740,Dichelostemma capitatum,4,1,,5
740,Dichelostemma capitatum,5,,,
753,Dichelostemma capitatum,1,1,,
753,Dichelostemma capitatum,2,,,
753,Dichelostemma capitatum,3,,,
753,Dichelostemma capitatum,4,,,
753,Dichelostemma capitatum,5,1,,
754,Dichelostemma capitatum,1,,,
754,Dichelostemma capitatum,2,,,
754,Dichelostemma capitatum,3,,,
754,Dichelostemma capitatum,4,1,,5
754,Dichelostemma capitatum,5,,,
756,Dichelostemma capitatum,1,,,
756,Dichelostemma capitatum,2,1,,
756,Dichelostemma capitatum,3,,,
756,Dichelostemma capitatum,4,,,
756,Dichelostemma capitatum,5,,,
756,Dodecatheon hendersonii,1,2,1,2
756,Dodecatheon hendersonii,2,4,1,
756,Dodecatheon hendersonii,3,4,,10
756,Dodecatheon hendersonii,4,4,5,1
756,Dodecatheon hendersonii,5,8,5,2
757,Dodecatheon hendersonii,1,,,
757,Dodecatheon hendersonii,2,,,
757,Dodecatheon hendersonii,3,4,,5
