site,1,1,2,2,3,3,4,4,5,5
740,30,34,35,32,30,25,29,20,30,37
741,24,22,30,34,20,35,20,23,30,22
742,40,26,28,35,27,25,35,12,30,25
743,15,17,10,15,12,22,12,13,8,8
744,15,22,14,10,8,12,12,12,45,42
745,10,20,12,15,8,8,10,20,10,12
746,33,34,42,27,30,45,30,32,37,22
747,5,6,10,15,10,17,7,8,10,12
748,7,4,3,5,28,15,12,5,13,13
749,45,35,49,45,70,75,70,80,85,90
750,35,45,25,35,42,45,30,41,33,25
751,17,30,30,20,5,15,30,27,24,30
752,21,20,14,15,9,8,10,14,11,11
753,35,37,45,47,31,45,44,43,47,44
754,17,20,10,12,10,15,8,13,20,15
755,41,42,55,40,49,54,54,44,48,42
756,52,45,46,15,32,14,21,14,10,17
757,48,45,42,54,57,44,56,69,54,52
758,25,26,55,34,17,35,40,21,20,50
759,28,31,20,29,22,23,40,35,35,29
760,16,12,13,21,11,10,15,13,12,4
761,23,38,29,13,28,26,33,16,37,43
762,19,7,6,16,10,12,15,20,4,19
763,25,21,21,19,17,28,14,13,39,25